From,To,perfect_match_percent,threshold_pass_percent,failed_percent,total_success_rate,total_observations,successful_observations,failed_observations,total_routes,single_route_observations,multi_route_observations,expected_observations,missing_observations,data_coverage_percent,id
10488,3698,100,0,0,100,384,384,0,384,384,0,384,0,100,91
10488,9456,100,0,0,100,384,384,0,384,384,0,384,0,100,92
10488,9688,100,0,0,100,384,384,0,384,384,0,384,0,100,93
105,119,100,0,0,100,384,384,0,384,384,0,384,0,100,94
105,12236,100,0,0,100,384,384,0,384,384,0,384,0,100,95
10616,12185,100,0,0,100,384,384,0,384,384,0,384,0,100,96
11421,11419,100,0,0,100,384,384,0,384,384,0,384,0,100,97
105,283,100,0,0,100,384,384,0,384,384,0,384,0,100,98
105,565,100,0,0,100,384,384,0,384,384,0,384,0,100,99
10502,332,100,0,0,100,384,384,0,384,384,0,384,0,100,100
10507,10034,100,0,0,100,384,384,0,384,384,0,384,0,100,101
10507,541,100,0,0,100,384,384,0,384,384,0,384,0,100,102
10507,681,100,0,0,100,384,384,0,384,384,0,384,0,100,103
10509,7159,100,0,0,100,384,384,0,384,384,0,384,0,100,104
335,9839,100,0,0,100,384,384,0,384,384,0,384,0,100,105
10509,7256,100,0,0,100,384,384,0,384,384,0,384,0,100,106
10514,5529,100,0,0,100,384,384,0,384,384,0,384,0,100,107
10514,7013,100,0,0,100,384,384,0,384,384,0,384,0,100,108
10523,1191,100,0,0,100,384,384,0,384,384,0,384,0,100,109
10525,1229,100,0,0,100,384,384,0,384,384,0,384,0,100,110
10525,4052,100,0,0,100,384,384,0,384,384,0,384,0,100,111
10531,1908,100,0,0,100,384,384,0,384,384,0,384,0,100,112
10531,617,100,0,0,100,384,384,0,384,384,0,384,0,100,113
10537,10176,100,0,0,100,384,384,0,384,384,0,384,0,100,114
10537,3564,100,0,0,100,384,384,0,384,384,0,384,0,100,115
10537,4251,100,0,0,100,384,384,0,384,384,0,384,0,100,116
10537,543,100,0,0,100,384,384,0,384,384,0,384,0,100,117
10550,12135,100,0,0,100,384,384,0,384,384,0,384,0,100,118
10550,629,100,0,0,100,384,384,0,384,384,0,384,0,100,119
10550,635,100,0,0,100,384,384,0,384,384,0,384,0,100,120
10552,2047,100,0,0,100,384,384,0,384,384,0,384,0,100,121
10555,12111,100,0,0,100,384,384,0,384,384,0,384,0,100,122
10555,7190,100,0,0,100,384,384,0,384,384,0,384,0,100,123
10555,7192,100,0,0,100,384,384,0,384,384,0,384,0,100,124
10558,10611,100,0,0,100,384,384,0,384,384,0,384,0,100,125
10558,7192,100,0,0,100,384,384,0,384,384,0,384,0,100,126
10574,9802,100,0,0,100,384,384,0,384,384,0,384,0,100,127
10574,9944,100,0,0,100,384,384,0,384,384,0,384,0,100,128
10575,10176,100,0,0,100,384,384,0,384,384,0,384,0,100,129
10575,3655,100,0,0,100,384,384,0,384,384,0,384,0,100,130
10577,745,100,0,0,100,384,384,0,384,384,0,384,0,100,131
10577,747,100,0,0,100,384,384,0,384,384,0,384,0,100,132
10579,1621,100,0,0,100,384,384,0,384,384,0,384,0,100,133
10579,1653,100,0,0,100,384,384,0,384,384,0,384,0,100,134
11991,11992,100,0,0,100,384,384,0,384,384,0,384,0,100,135
10579,2429,100,0,0,100,384,384,0,384,384,0,384,0,100,136
