kid,Id,code_a,dir_a,azi_a,code_b,dir_b,azi_b,code_start,dir_start,code_end,dir_end,travel_mode,azi_a_raw,azi_b_raw,azi_a_sw,azi_b_sw,azi_a_pl,azi_b_pl,axis_fix,geometry_wkt
1167,1167-84,4,SE,134.6212486798042,8,NW,314.63962170594937,8,NW,4,SE,8-4,134.6212486798042,314.63962170594937,325.2616211551862,145.24499468155204,130.06166526402995,310.06166526402995,0,"LINESTRING (34.78648 32.04699, 34.82112 32.01786)"
1161,1161-51,1,N,9.346381300078827,5,S,189.3473259940509,5,S,1,N,5-1,9.346381300078827,189.3473259940509,76.81316431097882,256.8184186860051,10.938587231477822,190.9385872314778,0,"LINESTRING (34.78474 32.04998, 34.78652 32.05919)"
22,22-26,6,SW,204.57271366344378,2,NE,24.569657575160306,2,NE,6,SW,2-6,204.57271366344378,24.569657575160306,236.9539036065783,56.94778270906511,208.22746717190455,28.22746717190456,0,"LINESTRING (34.78429 32.0494, 34.77853 32.03867)"
2235,2235-15,5,S,199.97953024991702,1,N,19.971967439154582,1,N,5,S,1-5,199.97953024991702,19.971967439154582,242.5075809280993,62.48879411263886,203.21333304067582,23.213333040675806,0,"LINESTRING (34.91399 32.50499, 34.89991 32.47216)"
2270,2270-51,1,N,7.552783512979905,5,S,187.5598257878071,5,S,1,N,5-1,7.552783512979905,187.5598257878071,79.20999507946962,259.25783976993534,8.901151725921798,188.90115172592178,0,"LINESTRING (34.91413 32.50504, 34.92722 32.58862)"
45,45-15,5,S,179.93941185757984,1,N,359.9394276860964,1,N,5,S,1-5,179.93941185757984,359.9394276860964,270.0934082735849,90.07945632604769,179.92903086267268,359.9290308626727,0,"LINESTRING (35.17323 31.85671, 35.17326 31.83249)"
43,43-51,1,N,20.914784502636284,5,S,200.91510118628437,5,S,1,N,5-1,20.914784502636284,200.91510118628437,61.39487562817034,241.3956475442024,24.120983119408585,204.12098311940858,0,"LINESTRING (35.17337 31.85667, 35.17397 31.85801)"
87,87-73,3,E,99.51098115577811,7,W,279.51186909644036,7,W,3,E,7-3,99.51098115577811,279.51186909644036,353.169637576011,173.16949633020985,98.22281389063754,278.22281389063755,0,"LINESTRING (34.40026 30.88138, 34.40199 30.88113)"
84,84-37,7,W,279.218912084958,3,E,99.21612503124213,3,E,7,W,3-7,279.218912084958,99.21612503124213,173.38198505542937,353.38241440370166,277.96754060964304,97.96754060964302,0,"LINESTRING (34.40028 30.88148, 34.39485 30.88224)"
311,311-84,4,SE,120.15617405092995,8,NW,300.1620460810174,8,NW,4,SE,8-4,120.15617405092995,300.1620460810174,337.609465770287,157.6062806609301,116.48357838517775,296.48357838517774,0,"LINESTRING (34.58824 31.43537, 34.5995 31.42976)"
309,309-48,8,NW,303.0924086299037,4,SE,123.06439527151275,4,SE,8,NW,4-8,303.0924086299037,123.06439527151275,155.19701554740493,335.2140228048104,299.17858744386086,119.17858744386089,0,"LINESTRING (34.58808 31.43547, 34.53439 31.46545)"
