data_id,name,segment_id,route_alternative,requested_time,timestamp,day_in_week,day_type,duration,static_duration,distance,speed,url,polyline,is_valid,valid_code,hausdorff_distance,hausdorff_pass,link_id,date,hour_of_day,iso_week,weekday_index,daytype,is_holiday,holiday_name
317247419,s_1-5,1530526,1,06:00:00,2025-10-01 06:01:42+03:00,יום ד,ערב חג,170,181,4661,98.7035,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317247419&a=1&du=170,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,6,40,2.0,weekday,False,
317249197,s_1-5,1530526,1,06:15:00,2025-10-01 06:15:38+03:00,יום ד,ערב חג,172,181,4661,97.5558,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317249197&a=1&du=172,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,6,40,2.0,weekday,False,
317254492,s_1-5,1530526,1,06:30:00,2025-10-01 06:31:43+03:00,יום ד,ערב חג,174,181,4661,96.4345,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317254492&a=1&du=174,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,6,40,2.0,weekday,False,
317255966,s_1-5,1530526,1,06:45:00,2025-10-01 06:45:37+03:00,יום ד,ערב חג,170,181,4661,98.7035,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317255966&a=1&du=170,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,6,40,2.0,weekday,False,
317261382,s_1-5,1530526,1,07:00:00,2025-10-01 07:01:45+03:00,יום ד,ערב חג,178,181,4661,94.2674,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317261382&a=1&du=178,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,7,40,2.0,weekday,False,
317262302,s_1-5,1530526,1,07:15:00,2025-10-01 07:15:42+03:00,יום ד,ערב חג,175,181,4661,95.8834,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317262302&a=1&du=175,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,7,40,2.0,weekday,False,
317268045,s_1-5,1530526,1,07:30:00,2025-10-01 07:31:43+03:00,יום ד,ערב חג,179,181,4661,93.7408,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317268045&a=1&du=179,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,7,40,2.0,weekday,False,
317268375,s_1-5,1530526,1,07:45:00,2025-10-01 07:45:39+03:00,יום ד,ערב חג,184,181,4661,91.1935,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317268375&a=1&du=184,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,7,40,2.0,weekday,False,
317275019,s_1-5,1530526,1,08:00:00,2025-10-01 08:01:47+03:00,יום ד,ערב חג,179,181,4661,93.7408,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317275019&a=1&du=179,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,8,40,2.0,weekday,False,
317275389,s_1-5,1530526,1,08:15:00,2025-10-01 08:15:39+03:00,יום ד,ערב חג,178,181,4661,94.2674,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317275389&a=1&du=178,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,8,40,2.0,weekday,False,
317282628,s_1-5,1530526,1,08:30:00,2025-10-01 08:31:43+03:00,יום ד,ערב חג,177,181,4661,94.8,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317282628&a=1&du=177,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,8,40,2.0,weekday,False,
