link_id,daytype,hour_of_day,avg_n_valid,total_valid_n,total_not_valid,avg_dur,avg_dist,avg_speed,n_days,avg_static_dur,std_dur,std_static_dur
s_1-5,weekend,11,4.0,8,0,176.875,4661.0,94.92879,2,181.0,1.2746500939738001,0.0
s_1-5,weekend,12,4.0,8,0,178.125,4661.0,94.273544,2,181.0,0.8273502691896245,0.0
s_1-5,weekend,13,4.0,8,0,178.625,4661.0,94.070335,2,181.0,1.1858203350647183,0.0
s_1-5,weekend,14,4.0,8,0,178.25,4661.0,94.212364,2,181.0,2.7606968581040903,0.0
s_1-5,weekend,15,4.0,8,0,179.25,4661.0,93.74321,2,181.0,2.768659593995375,0.0
s_1-5,weekend,16,4.0,8,0,182.375,4661.0,92.14865,2,181.0,3.2332774042918895,0.0
s_1-5,weekend,17,4.0,8,0,181.25,4661.0,92.61952,2,181.0,1.7287135538781695,0.0
s_1-5,weekend,18,4.0,8,0,181.75,4661.0,92.33699,2,181.0,1.5801234497346435,0.0
s_1-5,weekend,19,4.0,8,0,181.75,4661.0,92.332016,2,181.0,2.0615528128088303,0.0
s_1-5,weekend,20,4.0,8,0,182.625,4661.0,91.94679,2,181.0,2.9571006423724087,0.0
s_1-5,weekend,21,4.0,8,0,184.0,4661.0,91.31725,2,181.0,2.1243311429962315,0.0
s_1-5,weekend,22,4.0,8,0,183.75,4661.0,91.40456,2,181.0,4.63644239397079,0.0
s_1-5,weekend,23,4.0,8,0,178.625,4661.0,93.99318,2,181.0,3.849836256084647,0.0
s_1-8052,holiday,0,4.0,4,0,69.0,1043.0,55.703697,1,48.0,11.40175425099138,0.0
s_1-8052,holiday,1,4.0,4,0,153.25,1043.0,25.5584,1,48.0,38.836194458262774,0.0
s_1-8052,holiday,2,4.0,4,0,124.25,1043.0,30.4035,1,48.0,10.812801055539063,0.0
s_1-8052,holiday,3,4.0,4,0,91.5,1043.0,45.26045,1,48.0,27.258026340878022,0.0
s_1-8052,holiday,4,4.0,4,0,67.25,1043.0,57.0347,1,48.0,11.265729744080792,0.0
s_1-8052,holiday,5,4.0,4,0,56.75,1043.0,67.10487,1,48.0,8.261355820929152,0.0
s_1-8052,holiday,6,4.0,4,0,44.25,1043.0,85.353226,1,48.0,4.0311288741492755,0.0
s_1-8052,holiday,7,4.0,4,0,115.25,1043.0,45.0451,1,48.0,67.62827318018208,0.0
s_1-8052,holiday,8,4.0,4,0,132.75,1043.0,28.40435,1,48.0,9.673847907287636,0.0
s_1-8052,holiday,9,4.0,4,0,130.0,1043.0,29.773975,1,48.0,27.65260686927485,0.0
s_1-8052,holiday,10,4.0,4,0,163.5,1043.0,22.993,1,48.0,6.454972243679025,0.0
s_1-8052,holiday,11,4.0,4,0,86.0,1043.0,48.24685,1,48.0,36.193922141707716,0.0
