link_id,percent_valid,hours_with_data,hours_valid,hours_dropped,percent_valid_hours,days_covered
s_1059-1117,100.0,96,96,0,100.0,4
s_1059-11301,100.0,96,96,0,100.0,4
s_1059-11302,100.0,96,96,0,100.0,4
s_1059-2271,100.0,96,96,0,100.0,4
s_10607-1373,100.0,96,96,0,100.0,4
s_10607-8039,100.0,96,96,0,100.0,4
s_10608-283,100.0,96,96,0,100.0,4
s_10608-9054,100.0,96,96,0,100.0,4
s_10611-10558,100.0,96,96,0,100.0,4
s_10611-11375,100.0,96,96,0,100.0,4
s_10611-7080,100.0,96,96,0,100.0,4
s_10612-1201,100.0,96,96,0,100.0,4
s_10612-1207,100.0,96,96,0,100.0,4
s_10612-1209,100.0,96,96,0,100.0,4
s_10613-11952,100.0,96,96,0,100.0,4
s_10613-7245,100.0,96,96,0,100.0,4
s_10613-9232,100.0,96,96,0,100.0,4
s_10616-11306,100.0,96,96,0,100.0,4
s_10616-12185,100.0,96,96,0,100.0,4
s_10616-1247,100.0,96,96,0,100.0,4
s_10633-2061,100.0,96,96,0,100.0,4
s_10633-2063,100.0,96,96,0,100.0,4
s_10634-2167,100.0,96,96,0,100.0,4
s_10634-4181,100.0,96,96,0,100.0,4
s_10647-301,100.0,96,96,0,100.0,4
s_10647-303,100.0,96,96,0,100.0,4
s_10684-77,100.0,96,96,0,100.0,4
s_10684-79,100.0,96,96,0,100.0,4
s_10689-3974,100.0,96,96,0,100.0,4
s_10689-7186,100.0,96,96,0,100.0,4
s_10689-7238,100.0,96,96,0,100.0,4
s_10696-10901,100.0,96,96,0,100.0,4
s_10697-12100,100.0,96,96,0,100.0,4
s_10697-3856,100.0,96,96,0,100.0,4
s_10700-3710,100.0,96,96,0,100.0,4
s_10700-537,100.0,96,96,0,100.0,4
s_10700-553,100.0,96,96,0,100.0,4
s_10701-3542,100.0,96,96,0,100.0,4
s_10701-9616,100.0,96,96,0,100.0,4
s_10703-10407,100.0,96,96,0,100.0,4
s_10703-4251,100.0,96,96,0,100.0,4
s_10703-681,100.0,96,96,0,100.0,4
s_10706-11739,100.0,96,96,0,100.0,4
s_1073-10582,100.0,96,96,0,100.0,4
s_1073-10809,100.0,96,96,0,100.0,4
s_1073-9478,100.0,96,96,0,100.0,4
s_10734-7097,100.0,96,96,0,100.0,4
s_1075-10809,100.0,96,96,0,100.0,4
s_1075-11424,100.0,96,96,0,100.0,4
s_10764-7025,100.0,96,96,0,100.0,4
s_10764-7159,100.0,96,96,0,100.0,4
s_10764-9735,100.0,96,96,0,100.0,4
s_10765-11297,100.0,96,96,0,100.0,4
s_10765-11412,100.0,96,96,0,100.0,4
s_10765-941,100.0,96,96,0,100.0,4
s_1077-11305,100.0,96,96,0,100.0,4
s_1077-11424,100.0,96,96,0,100.0,4
s_1077-4003,100.0,96,96,0,100.0,4
s_10781-4204,100.0,96,96,0,100.0,4
s_1079-1083,100.0,96,96,0,100.0,4
s_1079-12239,100.0,96,96,0,100.0,4
s_10791-10269,100.0,96,96,0,100.0,4
s_10791-4175,100.0,96,96,0,100.0,4
s_10793-11288,100.0,96,96,0,100.0,4
s_10793-12125,100.0,96,96,0,100.0,4
s_10793-4205,100.0,96,96,0,100.0,4
s_10796-11388,100.0,96,96,0,100.0,4
s_10796-7139,100.0,96,96,0,100.0,4
s_10799-2063,100.0,96,96,0,100.0,4
s_10799-7220,100.0,96,96,0,100.0,4
s_10807-1329,100.0,96,96,0,100.0,4
s_10807-4082,100.0,96,96,0,100.0,4
s_10808-12097,100.0,96,96,0,100.0,4
s_10808-3624,100.0,96,96,0,100.0,4
s_10809-1073,100.0,96,96,0,100.0,4
s_10809-1075,100.0,96,96,0,100.0,4
s_10809-4003,100.0,96,96,0,100.0,4
s_10811-11045,100.0,96,96,0,100.0,4
s_10811-9276,100.0,96,96,0,100.0,4
s_10828-10929,100.0,96,96,0,100.0,4
s_10828-817,100.0,96,96,0,100.0,4
s_1083-1079,100.0,96,96,0,100.0,4
s_1083-1087,100.0,96,96,0,100.0,4
s_10869-7073,100.0,96,96,0,100.0,4
s_1087-1083,100.0,96,96,0,100.0,4
s_1087-1089,100.0,96,96,0,100.0,4
s_1087-2229,100.0,96,96,0,100.0,4
s_10888-12100,100.0,96,96,0,100.0,4
s_1089-1087,100.0,96,96,0,100.0,4
s_1089-1093,100.0,96,96,0,100.0,4
s_1089-2169,100.0,96,96,0,100.0,4
s_10901-10696,100.0,96,96,0,100.0,4
s_10916-11290,100.0,96,96,0,100.0,4
s_10916-9350,100.0,96,96,0,100.0,4
s_10918-11380,100.0,96,96,0,100.0,4
s_10918-9827,100.0,96,96,0,100.0,4
s_10927-4076,100.0,96,96,0,100.0,4
s_10928-1781,100.0,96,96,0,100.0,4
s_10929-10828,100.0,96,96,0,100.0,4
s_10929-1937,100.0,96,96,0,100.0,4
s_10929-823,100.0,96,96,0,100.0,4
s_1093-1089,100.0,96,96,0,100.0,4
s_1093-3938,100.0,96,96,0,100.0,4
s_1093-4203,100.0,96,96,0,100.0,4
s_10937-2003,100.0,96,96,0,100.0,4
s_1095-12619,100.0,96,96,0,100.0,4
s_10957-12351,100.0,96,96,0,100.0,4
s_10957-3437,100.0,96,96,0,100.0,4
s_10957-7173,100.0,96,96,0,100.0,4
s_10958-119,100.0,96,96,0,100.0,4
s_10958-125,100.0,96,96,0,100.0,4
s_1099-1101,100.0,96,96,0,100.0,4
s_1099-4203,100.0,96,96,0,100.0,4
s_11-13,100.0,96,96,0,100.0,4
s_11-7,100.0,96,96,0,100.0,4
